title_original,title_clean,active_since_days,duration_seconds,total_views,views_by_day,view_category_quantile,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,title_tokens,title_lemmas,has_question,has_exclamation,uppercase_ratio,capital_count,swear_word_count
PRICELESS HACKS & CRAFTS FOR PARENTS and THEIR KIDS,priceless hacks crafts for parents and their kids,12,960,659551,54962,1,51,9,1,7,1,3,5.666666666666667,0,0,1.0,"['priceless', 'hacks', 'crafts', 'for', 'parents', 'and', 'their', 'kids']","['priceless', 'hack', 'craft', 'for', 'parent', 'and', 'their', 'kid']",0,0,0.7777777777777778,39,0
5-MINUTE CRAFTS 5TH ANNIVERSARY CHALLENGE 🥳 #shorts,5minute crafts 5th anniversary challenge shorts,13,53,207931,15994,0,51,7,2,5,1,0,7.285714285714286,1,1,0.0,"['5minute', 'crafts', '5th', 'anniversary', 'challenge', 'shorts']","['5minute', 'craft', '5th', 'anniversary', 'challenge', 'short']",0,0,0.7142857142857143,34,0
AMAZING FOOD COMMERCIAL TRICKS || Cool Photo & Video Ideas,amazing food commercial tricks cool photo video ideas,10,668,461338,46133,1,58,10,3,4,0,0,5.8,0,0,0.3166666666666667,"['amazing', 'food', 'commercial', 'tricks', 'cool', 'photo', 'video', 'ideas']","['amazing', 'food', 'commercial', 'trick', 'cool', 'photo', 'video', 'idea']",0,0,0.4,31,0
POSITIVE PARENTING TIPS || Best Crafts and Hacks For Smart Moms and Dads,positive parenting tips best crafts and hacks for smart moms and dads,10,3600,2741892,274189,3,72,13,2,3,2,3,5.538461538461538,0,0,0.4805194805194805,"['positive', 'parenting', 'tips', 'best', 'crafts', 'and', 'hacks', 'for', 'smart', 'moms', 'and', 'dads']","['positive', 'parenting', 'tip', 'best', 'craft', 'and', 'hack', 'for', 'smart', 'mom', 'and', 'dad']",0,0,0.23076923076923078,28,0
Clever Recycling Hacks || How to Reuse Old Stuff,clever recycling hacks how to reuse old stuff,10,572,432458,43245,0,48,9,2,0,1,2,5.333333333333333,0,0,0.1333333333333333,"['clever', 'recycling', 'hacks', 'how', 'to', 'reuse', 'old', 'stuff']","['clever', 'recycling', 'hack', 'how', 'to', 'reuse', 'old', 'stuff']",0,0,0.0,7,0
CATCH THE CANDY CHALLENGE 🍬 #shorts,catch the candy challenge shorts,10,25,27156933,2715693,4,35,6,1,4,1,1,5.833333333333333,0,0,0.0,"['catch', 'the', 'candy', 'challenge', 'shorts']","['catch', 'the', 'candy', 'challenge', 'short']",0,0,0.6666666666666666,22,0
USEFUL HACKS & CRAFTS FOR THE BEST PARENTS EVER,useful hacks crafts for the best parents ever,10,960,368205,36820,0,47,9,1,8,0,2,5.222222222222222,0,0,0.65,"['useful', 'hacks', 'crafts', 'for', 'the', 'best', 'parents', 'ever']","['useful', 'hack', 'craft', 'for', 'the', 'best', 'parent', 'ever']",0,0,0.8888888888888888,38,0
SMART GADGETS & FUN TOYS THAT YOUR PETS WILL LOVE,smart gadgets fun toys that your pets will love,10,900,651429,65142,1,49,10,1,9,0,3,4.9,0,0,0.338095238095238,"['smart', 'gadgets', 'fun', 'toys', 'that', 'your', 'pets', 'will', 'love']","['smart', 'gadget', 'fun', 'toy', 'that', 'your', 'pet', 'will', 'love']",0,0,0.9,39,0
MYSTERY BOX CHALLENGE GONE WRONG 🤪 #shorts,mystery box challenge gone wrong shorts,10,24,644367,64436,1,42,7,1,5,1,0,6.0,0,0,-0.5,"['mystery', 'box', 'challenge', 'gone', 'wrong', 'shorts']","['mystery', 'box', 'challenge', 'gone', 'wrong', 'short']",0,0,0.7142857142857143,28,0
SUMMER HOUSE vs WINTER HOUSE || Amazing Huge Craft Ideas,summer house vs winter house amazing huge craft ideas,10,2040,1706885,170688,2,56,10,2,4,1,0,5.6,0,0,0.5000000000000001,"['summer', 'house', 'vs', 'winter', 'house', 'amazing', 'huge', 'craft', 'ideas']","['summer', 'house', 'v', 'winter', 'house', 'amazing', 'huge', 'craft', 'idea']",0,0,0.4,26,0
BEST HACKS & GADGETS FOR SMART PET OWNERS,best hacks gadgets for smart pet owners,10,900,188045,18804,0,41,8,1,7,0,1,5.125,0,0,0.6071428571428571,"['best', 'hacks', 'gadgets', 'for', 'smart', 'pet', 'owners']","['best', 'hack', 'gadget', 'for', 'smart', 'pet', 'owner']",0,0,0.875,33,0
KITCHEN HACKS & GADGETS TO COOK LIKE A PRO,kitchen hacks gadgets to cook like a pro,10,960,786746,78674,1,42,9,1,8,0,2,4.666666666666667,0,0,0.0,"['kitchen', 'hacks', 'gadgets', 'to', 'cook', 'like', 'a', 'pro']","['kitchen', 'hack', 'gadget', 'to', 'cook', 'like', 'a', 'pro']",0,0,0.8888888888888888,33,0
5-MINUTE CRAFTS BOTTLE CHALLENGE #shorts,5minute crafts bottle challenge shorts,10,32,3076818,307681,3,40,5,2,4,1,0,8.0,1,1,0.0,"['5minute', 'crafts', 'bottle', 'challenge', 'shorts']","['5minute', 'craft', 'bottle', 'challenge', 'short']",0,0,0.8,27,0
GENIUS CLEANING HACKS TO KEEP YOUR PLACE NEAT,genius cleaning hacks to keep your place neat,10,589,334818,33481,0,45,8,0,8,0,2,5.625,0,0,0.0,"['genius', 'cleaning', 'hacks', 'to', 'keep', 'your', 'place', 'neat']","['genius', 'cleaning', 'hack', 'to', 'keep', 'your', 'place', 'neat']",0,0,1.0,38,0
SMART HACKS FOR PARENTS TO MAKE YOUR LIFE EASIER,smart hacks for parents to make your life easier,10,960,945979,94597,1,48,9,0,9,0,3,5.333333333333333,0,0,0.2142857142857142,"['smart', 'hacks', 'for', 'parents', 'to', 'make', 'your', 'life', 'easier']","['smart', 'hack', 'for', 'parent', 'to', 'make', 'your', 'life', 'easier']",0,0,1.0,40,0
Fantastic Gadgets And Hacks For The Best Pet Owners,fantastic gadgets and hacks for the best pet owners,15,960,1004709,66980,2,51,9,0,0,0,3,5.666666666666667,0,0,0.7,"['fantastic', 'gadgets', 'and', 'hacks', 'for', 'the', 'best', 'pet', 'owners']","['fantastic', 'gadget', 'and', 'hack', 'for', 'the', 'best', 'pet', 'owner']",0,0,0.0,9,0
EASY & TASTY RECIPES TO COOK UNDER 5 MINUTES,easy tasty recipes to cook under 5 minutes,15,900,896460,59764,1,44,9,1,7,0,2,4.888888888888889,1,0,0.4333333333333333,"['easy', 'tasty', 'recipes', 'to', 'cook', 'under', '5', 'minutes']","['easy', 'tasty', 'recipe', 'to', 'cook', 'under', '5', 'minute']",0,0,0.7777777777777778,34,0
CANDY CHALLENGE FOR COUPLES 🍬 #shorts,candy challenge for couples shorts,15,11,802983,53532,1,37,6,1,4,1,1,6.166666666666667,0,0,0.0,"['candy', 'challenge', 'for', 'couples', 'shorts']","['candy', 'challenge', 'for', 'couple', 'short']",0,0,0.6666666666666666,24,0
HOW TO HIDE CANDIES FROM YOUR KIDS 🍬 Priceless Hacks For Smart Parents,how to hide candies from your kids priceless hacks for smart parents,15,900,157112,10474,0,70,13,0,7,0,5,5.384615384615385,0,0,0.6071428571428571,"['how', 'to', 'hide', 'candies', 'from', 'your', 'kids', 'priceless', 'hacks', 'for', 'smart', 'parents']","['how', 'to', 'hide', 'candy', 'from', 'your', 'kid', 'priceless', 'hack', 'for', 'smart', 'parent']",0,0,0.5384615384615384,33,0
INCREDIBLE CEMENT CRAFTS FOR HOME THAT YOU SHOULD TRY,incredible cement crafts for home that you should try,15,1140,8021081,534738,4,53,9,0,9,0,4,5.888888888888889,0,0,0.9,"['incredible', 'cement', 'crafts', 'for', 'home', 'that', 'you', 'should', 'try']","['incredible', 'cement', 'craft', 'for', 'home', 'that', 'you', 'should', 'try']",0,0,1.0,45,0
HOW TO FILM COOKING HACKS 👩‍🍳 #shorts,how to film cooking hacks shorts,15,18,4118413,274560,3,37,7,1,5,1,2,5.285714285714286,0,0,0.0,"['how', 'to', 'film', 'cooking', 'hacks', 'shorts']","['how', 'to', 'film', 'cooking', 'hack', 'short']",0,0,0.7142857142857143,21,0
HOW TO TIE DYE || Amazing Ways To Transform Your Clothes,how to tie dye amazing ways to transform your clothes,20,602,589254,29462,1,56,11,2,4,0,4,5.090909090909091,0,0,0.6000000000000001,"['how', 'to', 'tie', 'dye', 'amazing', 'ways', 'to', 'transform', 'your', 'clothes']","['how', 'to', 'tie', 'dye', 'amazing', 'way', 'to', 'transform', 'your', 'clothes']",0,0,0.36363636363636365,17,0
PARENTING LIFE IS FUN! Priceless Hacks For Smart Parents,parenting life is fun priceless hacks for smart parents,20,900,402731,20136,0,56,9,1,4,0,2,6.222222222222222,0,0,0.5297619047619048,"['parenting', 'life', 'is', 'fun', 'priceless', 'hacks', 'for', 'smart', 'parents']","['parenting', 'life', 'is', 'fun', 'priceless', 'hack', 'for', 'smart', 'parent']",0,1,0.4444444444444444,23,0
BEST SUMMER HACKS YOU WISH YOU KNEW SOONER,best summer hacks you wish you knew sooner,20,3960,1264717,63235,2,42,8,0,8,0,2,5.25,0,0,1.0,"['best', 'summer', 'hacks', 'you', 'wish', 'you', 'knew', 'sooner']","['best', 'summer', 'hack', 'you', 'wish', 'you', 'knew', 'sooner']",0,0,1.0,35,0
VIRAL TOOTHPASTE CHALLENGE #shorts,viral toothpaste challenge shorts,20,31,81536845,4076842,4,34,4,1,3,1,0,8.5,0,0,0.0,"['viral', 'toothpaste', 'challenge', 'shorts']","['viral', 'toothpaste', 'challenge', 'short']",0,0,0.75,24,0
GENIUS HACKS FOR SMART PET OWNERS,genius hacks for smart pet owners,30,900,10094013,336467,4,33,6,0,6,0,1,5.5,0,0,0.2142857142857142,"['genius', 'hacks', 'for', 'smart', 'pet', 'owners']","['genius', 'hack', 'for', 'smart', 'pet', 'owner']",0,0,1.0,28,0
WE TESTED VIRAL TIKTOK HACKS! #shorts,we tested viral tiktok hacks shorts,30,18,6858201,228606,4,37,6,2,5,1,1,6.166666666666667,0,0,0.0,"['we', 'tested', 'viral', 'tiktok', 'hacks', 'shorts']","['we', 'tested', 'viral', 'tiktok', 'hack', 'short']",0,1,0.8333333333333334,24,0
100+ Amazing Parenting Hacks That Will Change Your Life,100 amazing parenting hacks that will change your life,30,3720,3113351,103778,3,55,9,1,0,0,3,6.111111111111111,1,1,0.6000000000000001,"['100', 'amazing', 'parenting', 'hacks', 'that', 'will', 'change', 'your', 'life']","['100', 'amazing', 'parenting', 'hack', 'that', 'will', 'change', 'your', 'life']",0,0,0.0,8,0
Refreshing Hacks For Hot Days Everyone Should Know,refreshing hacks for hot days everyone should know,30,616,638820,21294,1,50,8,0,0,0,2,6.25,0,0,0.375,"['refreshing', 'hacks', 'for', 'hot', 'days', 'everyone', 'should', 'know']","['refreshing', 'hack', 'for', 'hot', 'day', 'everyone', 'should', 'know']",0,0,0.0,8,0
HOW TO MAKE DRINKING STRAW SLIPPERS #shorts,how to make drinking straw slippers shorts,30,29,2055207,68506,2,43,7,1,6,1,2,6.142857142857143,0,0,0.0,"['how', 'to', 'make', 'drinking', 'straw', 'slippers', 'shorts']","['how', 'to', 'make', 'drinking', 'straw', 'slipper', 'short']",0,0,0.8571428571428571,30,0
30+ BRILLIANT HACKS FOR TRENDY PARENTS,30 brilliant hacks for trendy parents,30,960,836763,27892,1,38,6,1,5,0,1,6.333333333333333,1,1,0.75,"['30', 'brilliant', 'hacks', 'for', 'trendy', 'parents']","['30', 'brilliant', 'hack', 'for', 'trendy', 'parent']",0,0,0.8333333333333334,30,0
POSITIVE PARENTING TIPS || Cute Crafts And DIY Ideas For Parents,positive parenting tips cute crafts and diy ideas for parents,30,900,266479,8882,0,64,11,2,4,0,2,5.818181818181818,0,0,0.3636363636363636,"['positive', 'parenting', 'tips', 'cute', 'crafts', 'and', 'diy', 'ideas', 'for', 'parents']","['positive', 'parenting', 'tip', 'cute', 'craft', 'and', 'diy', 'idea', 'for', 'parent']",0,0,0.36363636363636365,30,0
SMART HACKS WITH FRUITS & VEGGIES || How To Cut And Peel Fruits Like a Pro,smart hacks with fruits veggies how to cut and peel fruits like a pro,30,626,719071,23969,1,74,16,3,5,1,5,4.625,0,0,0.2142857142857142,"['smart', 'hacks', 'with', 'fruits', 'veggies', 'how', 'to', 'cut', 'and', 'peel', 'fruits', 'like', 'a', 'pro']","['smart', 'hack', 'with', 'fruit', 'veggie', 'how', 'to', 'cut', 'and', 'peel', 'fruit', 'like', 'a', 'pro']",0,0,0.3125,35,0
Best Hacks and Gadgets For Your Adorable Pets,best hacks and gadgets for your adorable pets,30,1980,1159500,38650,2,45,8,0,0,1,3,5.625,0,0,0.75,"['best', 'hacks', 'and', 'gadgets', 'for', 'your', 'adorable', 'pets']","['best', 'hack', 'and', 'gadget', 'for', 'your', 'adorable', 'pet']",0,0,0.0,7,0
COOL MYSTERY BOX! Awesome TikTok Challenges and Fun Experiments,cool mystery box awesome tiktok challenges and fun experiments,30,900,229500,7650,0,63,9,1,3,1,1,7.0,0,0,0.5791666666666667,"['cool', 'mystery', 'box', 'awesome', 'tiktok', 'challenges', 'and', 'fun', 'experiments']","['cool', 'mystery', 'box', 'awesome', 'tiktok', 'challenge', 'and', 'fun', 'experiment']",0,1,0.3333333333333333,20,0
BACK to SCHOOL! Awesome School Crafts and Hacks For Parents,back to school awesome school crafts and hacks for parents,30,3720,4950989,165032,3,59,10,1,2,2,3,5.9,0,0,0.5,"['back', 'to', 'school', 'awesome', 'school', 'crafts', 'and', 'hacks', 'for', 'parents']","['back', 'to', 'school', 'awesome', 'school', 'craft', 'and', 'hack', 'for', 'parent']",0,1,0.2,16,0
"EASY HALLOWEEN DECOR, MAKEUP IDEAS AND COSTUMES",easy halloween decor makeup ideas and costumes,30,1080,477177,15905,1,47,7,1,7,0,1,6.714285714285714,0,0,0.4333333333333333,"['easy', 'halloween', 'decor', 'makeup', 'ideas', 'and', 'costumes']","['easy', 'halloween', 'decor', 'makeup', 'idea', 'and', 'costume']",0,0,1.0,40,0
BEST GADGETS & HACKS FOR PET OWNERS🐶🐱 #shorts,best gadgets hacks for pet owners shorts,30,55,1409594,46986,2,45,8,2,6,1,1,5.625,0,0,1.0,"['best', 'gadgets', 'hacks', 'for', 'pet', 'owners', 'shorts']","['best', 'gadget', 'hack', 'for', 'pet', 'owner', 'short']",0,0,0.75,28,0
How to Be Friends With Your Kid? Positive Parenting Hacks,how to be friends with your kid positive parenting hacks,30,552,594133,19804,1,57,10,1,0,1,5,5.7,0,0,0.2272727272727272,"['how', 'to', 'be', 'friends', 'with', 'your', 'kid', 'positive', 'parenting', 'hacks']","['how', 'to', 'be', 'friend', 'with', 'your', 'kid', 'positive', 'parenting', 'hack']",1,0,0.0,9,0
CRAZY MAKEUP IDEAS FOR A HALLOWEEN PARTY,crazy makeup ideas for a halloween party,30,900,259053,8635,0,40,7,0,7,0,2,5.714285714285714,0,0,-0.6,"['crazy', 'makeup', 'ideas', 'for', 'a', 'halloween', 'party']","['crazy', 'makeup', 'idea', 'for', 'a', 'halloween', 'party']",0,0,1.0,34,0
AMAZING DESSERTS FOR REAL FOODIES || Easy Sweet Recipes Anyone Can Make,amazing desserts for real foodies easy sweet recipes anyone can make,30,1020,2934103,97803,3,71,12,2,5,0,2,5.916666666666667,0,0,0.3958333333333333,"['amazing', 'desserts', 'for', 'real', 'foodies', 'easy', 'sweet', 'recipes', 'anyone', 'can', 'make']","['amazing', 'dessert', 'for', 'real', 'foodie', 'easy', 'sweet', 'recipe', 'anyone', 'can', 'make']",0,0,0.4166666666666667,35,0
How to Play DALGONA GAME #shorts,how to play dalgona game shorts,30,31,3694032,123134,3,32,6,1,2,2,2,5.333333333333333,0,0,-0.4,"['how', 'to', 'play', 'dalgona', 'game', 'shorts']","['how', 'to', 'play', 'dalgona', 'game', 'short']",0,0,0.3333333333333333,13,0
AMAZING BACKYARD DECOR IDEAS || How to Upgrade Your Backyard,amazing backyard decor ideas how to upgrade your backyard,30,2220,3986298,132876,3,60,10,2,4,1,3,6.0,0,0,0.6000000000000001,"['amazing', 'backyard', 'decor', 'ideas', 'how', 'to', 'upgrade', 'your', 'backyard']","['amazing', 'backyard', 'decor', 'idea', 'how', 'to', 'upgrade', 'your', 'backyard']",0,0,0.4,29,0
